epoch,acc,f1_score,loss,precision_1,recall_1,val_acc,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.287151,0.00088676583,1.3836753855808044,0.006030351,0.0007488019,0.3181089758872986,0.0007889545522630215,1.3298988342285156,0.025641022250056267,0.0004006410308647901
1,0.33168218,0.015451625,1.348001662465434,0.2456383,0.008186901,0.33114755153656006,0.04063275083899498,1.3651840686798096,0.4117215871810913,0.02163461595773697
2,0.35154608,0.06919255,1.3207804520877169,0.49550074,0.03938698,0.3536885380744934,0.15720044076442719,1.358757734298706,0.4869813621044159,0.09455128014087677
3,0.3822676,0.1269146,1.2979587623453421,0.61770934,0.073382586,0.39016392827033997,0.09781818836927414,1.242790937423706,0.7929587960243225,0.05288461595773697
4,0.40683478,0.17106037,1.2647983438556143,0.6361409,0.10183706,0.4278688430786133,0.18775294721126556,1.187741994857788,0.6657122373580933,0.11057692021131516
5,0.43065146,0.20684093,1.2354606447856396,0.6090861,0.12802295,0.4446721374988556,0.23190070688724518,1.1369454860687256,0.630521833896637,0.1434294879436493
6,0.44190934,0.23503163,1.2175679430880013,0.62957096,0.14764155,0.4512295126914978,0.22015300393104553,1.217101812362671,0.6842074990272522,0.1326121836900711
7,0.45266688,0.2556896,1.207722482983801,0.6259784,0.16332202,0.46721312403678894,0.30320632457733154,1.2440122365951538,0.6395864486694336,0.2003205120563507
8,0.45251676,0.26173368,1.2004851524290423,0.6226879,0.16902955,0.4545081853866577,0.2220800369977951,1.244260311126709,0.6732238531112671,0.13421474397182465
9,0.4555689,0.263572,1.198149945014687,0.63548815,0.16963413,0.45286884903907776,0.205656960606575,1.1078256368637085,0.7166128158569336,0.12099359184503555
10,0.45832083,0.27303508,1.1899916475198296,0.6373402,0.1765453,0.47786885499954224,0.29349520802497864,1.2160391807556152,0.6684730052947998,0.1903044879436493
11,0.4675773,0.28803137,1.1790554107255458,0.63526636,0.18853168,0.45696720480918884,0.3333902657032013,1.2854411602020264,0.6175621151924133,0.22956730425357819
12,0.46672672,0.2889452,1.1794052351395503,0.6409767,0.1891751,0.49180328845977783,0.3137373626232147,1.071343183517456,0.6546418070793152,0.20793269574642181
13,0.46907836,0.30538613,1.1708154615716009,0.639621,0.20328586,0.4413934350013733,0.2952392101287842,1.2613859176635742,0.5807903409004211,0.19951923191547394
14,0.47768438,0.31092632,1.1646977243487402,0.65119225,0.20717409,0.47049179673194885,0.32536908984184265,1.088718295097351,0.6395856142044067,0.21915064752101898
15,0.47753426,0.3156295,1.163653531172821,0.6417105,0.21152267,0.4963114857673645,0.31250280141830444,1.1656798124313354,0.6629005670547485,0.2059294879436493
16,0.47958267,0.32768077,1.1557869758849708,0.650719,0.2219948,0.5090163946151733,0.3570663332939148,0.9979339838027954,0.6556740999221802,0.2471955120563507
17,0.4835005,0.33596942,1.1514075951088396,0.6491525,0.22925541,0.5110656023025513,0.39926666021347046,1.2018709182739258,0.6277291178703308,0.2944711446762085
