epoch,acc,f1_score,loss,precision_1,recall_1,val_acc,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.5646871,0.5643909,0.7002213678820518,0.5643909,0.5643909,0.6175987124443054,0.6175986528396606,0.6811820268630981,0.6175987124443054,0.6175987124443054
1,0.6394721,0.63934225,0.6340035709994384,0.6393423,0.6393423,0.6275168061256409,0.6274670362472534,0.6097263097763062,0.6274670958518982,0.6274670958518982
2,0.6420716,0.6426928,0.6342753227818754,0.64269286,0.64269286,0.6703020334243774,0.6718749403953552,0.6006529331207275,0.671875,0.671875
3,0.66176766,0.66204435,0.6117758859851031,0.6620444,0.6620444,0.6904362440109253,0.692105233669281,0.652295708656311,0.692105233669281,0.692105233669281
4,0.67376524,0.67424136,0.5947215929314557,0.6742414,0.6742414,0.7348993420600891,0.7366776466369629,0.5564210414886475,0.7366776466369629,0.7366776466369629
5,0.7040592,0.70490533,0.5723475060375232,0.70490533,0.70490533,0.7239933013916016,0.7254933714866638,0.4994051456451416,0.7254934310913086,0.7254934310913086
6,0.73035395,0.73082536,0.5454364460042848,0.73082536,0.73082536,0.7541946172714233,0.7555921077728271,0.480517715215683,0.7555921077728271,0.7555921077728271
7,0.7364527,0.7371505,0.5319487778717602,0.73715055,0.73715055,0.7734899520874023,0.7735196948051453,0.6384328603744507,0.7735196948051453,0.7735196948051453
8,0.74965006,0.75003314,0.5165618382032288,0.75003314,0.75003314,0.7776845693588257,0.778618335723877,0.43093276023864746,0.7786183953285217,0.7786183953285217
9,0.75234956,0.75297457,0.5113418997823894,0.75297457,0.75297457,0.7802013158798218,0.7820723056793213,0.41665369272232056,0.7820723652839661,0.7820723652839661
10,0.75524896,0.7558607,0.5074785171187275,0.75586075,0.75586075,0.7877516746520996,0.7884867787361145,0.4352561831474304,0.7884868383407593,0.7884868383407593
11,0.7534833,0.75348324,0.5084909806205968,0.7534833,0.7534833,0.7785235047340393,0.781907856464386,0.41081756353378296,0.781907856464386,0.781907856464386
12,0.7546203,0.755341,0.5025217572863967,0.755341,0.755341,0.7969798445701599,0.7980262637138367,0.471660315990448,0.7980263233184814,0.7980263233184814
13,0.7604479,0.7610359,0.4995164564790022,0.7610359,0.7610359,0.781879186630249,0.7832236289978027,0.380546510219574,0.7832236886024475,0.7832236886024475
14,0.7675465,0.76810193,0.4877409244854196,0.768102,0.768102,0.7986577153205872,0.7996709942817688,0.41014987230300903,0.7996710538864136,0.7996710538864136
15,0.77164567,0.77243674,0.4851984779099611,0.77243674,0.77243674,0.7810402512550354,0.7828946709632874,0.4683602452278137,0.7828947305679321,0.7828947305679321
16,0.76914614,0.76944,0.48724308026549673,0.76944,0.76944,0.791946291923523,0.793585479259491,0.48040491342544556,0.7935855388641357,0.7935855388641357
17,0.76824635,0.7690529,0.4843572429348721,0.769053,0.769053,0.7994966506958008,0.8009867668151855,0.45495936274528503,0.8009868264198303,0.8009868264198303
18,0.77884424,0.7796023,0.4754224805397121,0.77960235,0.77960235,0.7651006579399109,0.7657894492149353,0.5791860818862915,0.7657895088195801,0.7657895088195801
19,0.7726455,0.7726689,0.4735519695558493,0.77266896,0.77266896,0.7877516746520996,0.7899670600891113,0.3226509690284729,0.7899670600891113,0.7899670600891113
20,0.7756449,0.7761632,0.4682926133117111,0.7761633,0.7761633,0.7911184430122375,0.7911183834075928,0.41555845737457275,0.7911184430122375,0.7911184430122375
21,0.790142,0.7908484,0.4572265248278622,0.7908484,0.7908484,0.7902684807777405,0.7919407486915588,0.48221349716186523,0.7919408082962036,0.7919408082962036
22,0.7816437,0.782389,0.4556700072451082,0.782389,0.782389,0.7961409687995911,0.7981907725334167,0.5052506327629089,0.7981907725334167,0.7981907725334167
