epoch,acc,f1_score,loss,precision_1,recall_1,val_acc,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.25464258,0.0010483225,1.3980830591707565,0.0010483227,0.0010483227,0.25080129504203796,0.0,1.3864293098449707,0.0,0.0
1,0.25317723,8.9996785e-05,1.386380733795189,0.0004564126,4.9920127e-05,0.26147541403770447,0.0,1.3834573030471802,0.0,0.0
2,0.26088262,9.681477e-05,1.386201699515142,0.0015974441,4.9920127e-05,0.25122949481010437,0.0,1.3675321340560913,0.0,0.0
3,0.27149004,0.0011300917,1.3799465220933393,0.017571883,0.0005990415,0.3159835934638977,0.04799490049481392,1.368924617767334,0.42905983328819275,0.025641025975346565
4,0.3182728,0.030758133,1.3499190192507466,0.28381637,0.016972844,0.32131147384643555,0.023918647319078445,1.2855606079101562,0.4188033938407898,0.012419871985912323
5,0.3241269,0.04832943,1.3436588823622344,0.43025935,0.026407748,0.32090163230895996,0.03648732230067253,1.2868382930755615,0.4820512533187866,0.01923076994717121
6,0.3267287,0.058933735,1.3398040651523542,0.5021393,0.032298323,0.32131147384643555,0.03755936771631241,1.3921477794647217,0.5089743137359619,0.019631410017609596
7,0.33188233,0.06620211,1.3333372855990495,0.5043512,0.036541533,0.3295081853866577,0.07047490030527115,1.3257076740264893,0.47431832551956177,0.03846153989434242
8,0.34304014,0.06752538,1.3297806333448154,0.48838738,0.037639778,0.3307377099990845,0.021771183237433434,1.3581156730651855,0.44871795177459717,0.011217948980629444
9,0.35009506,0.08669892,1.3178215416704322,0.5586646,0.048422523,0.35983607172966003,0.05333797261118889,1.3168189525604248,0.5183150172233582,0.028445512056350708
10,0.36205342,0.093438506,1.3074361695358612,0.58600247,0.052366216,0.37336066365242004,0.12810572981834412,1.3693243265151978,0.5809582471847534,0.07331730425357819
11,0.37346143,0.10710136,1.2969973735905715,0.58748037,0.060902555,0.3676229417324066,0.17720389366149902,1.1575641632080078,0.5476452112197876,0.10697115212678909
12,0.37946564,0.1244023,1.2873990873334693,0.61837834,0.071086265,0.36352458596229553,0.13139264285564423,1.2341679334640503,0.5655816793441772,0.07532051205635071
13,0.38396877,0.12953417,1.281983944909966,0.62067044,0.07413139,0.36639344692230225,0.15669043362140656,1.3008720874786377,0.5693080425262451,0.09174679219722748
14,0.3927249,0.13670956,1.2749450899847727,0.6029393,0.07875177,0.3651639223098755,0.15690255165100098,1.329445719718933,0.6060830354690552,0.09134615212678909
15,0.38997298,0.14479119,1.2753449137189612,0.60659546,0.08401558,0.3782787024974823,0.19109849631786346,1.3840463161468506,0.5790161490440369,0.11578525602817535
16,0.40168118,0.15303807,1.2686218665930455,0.6143474,0.08933484,0.39344263076782227,0.18742141127586365,1.3069093227386475,0.5876443386077881,0.11258012801408768
17,0.40103072,0.1645435,1.261018591147577,0.6121809,0.09702254,0.3852458894252777,0.16019116342067719,1.1764578819274902,0.5739675760269165,0.09415064007043839
18,0.40208146,0.16906656,1.2566157715057904,0.6120204,0.100089855,0.39057376980781555,0.15489494800567627,1.247786283493042,0.599147379398346,0.09014423191547394
19,0.40618432,0.16667683,1.2556193024382318,0.5959543,0.098819666,0.3922131061553955,0.18486380577087402,1.2288228273391724,0.6084026098251343,0.11017628014087677
20,0.41233864,0.18445235,1.2492113948930053,0.6142684,0.11085042,0.3930327892303467,0.18856123089790344,1.2482651472091675,0.5572410225868225,0.11498397588729858
21,0.4204443,0.19836205,1.2367438281201557,0.61157775,0.12043509,0.40040984749794006,0.22820380330085754,1.2577065229415894,0.5740324854850769,0.14383013546466827
22,0.415691,0.19543517,1.2350714353187109,0.6112106,0.11833844,0.41844263672828674,0.22438301146030426,1.2610443830490112,0.6326630711555481,0.1382211595773697
23,0.4261483,0.20868832,1.225759786265421,0.6148511,0.12769568,0.42213115096092224,0.2455393224954605,1.14048171043396,0.5750649571418762,0.15785256028175354
24,0.4245972,0.20979224,1.2264786369030174,0.61511725,0.12852214,0.42500001192092896,0.22064831852912903,1.2302653789520264,0.6149147152900696,0.13621795177459717
25,0.42594817,0.22469476,1.2172141054138745,0.62722373,0.13940473,0.4266393482685089,0.23847046494483948,1.2833566665649414,0.6175315976142883,0.14983974397182465
26,0.4331532,0.21922426,1.220325872261794,0.619463,0.13538338,0.4372950792312622,0.22842742502689362,1.303274154663086,0.667840301990509,0.13982371985912323
27,0.43175223,0.22674361,1.2146115371155737,0.62570447,0.1408025,0.43565574288368225,0.2538083493709564,1.275346040725708,0.63625568151474,0.16065704822540283
